"barcode"	"date"	"template"
"1000104"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000105"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000106"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000107"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000108"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000109"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000110"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000111"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000112"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000113"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000114"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000115"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000116"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000117"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000118"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000119"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000120"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000121"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000122"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000123"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000124"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000125"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000126"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000127"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000128"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000129"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000130"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000131"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000132"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000133"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000134"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000135"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000136"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000137"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000138"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000139"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000140"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000141"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000142"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000143"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000144"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000145"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000146"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000147"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000148"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000149"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000150"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000151"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000152"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000153"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000154"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000155"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000156"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000157"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000158"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000159"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000160"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000161"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000162"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000163"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000164"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000165"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000166"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000167"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000168"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000169"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000170"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000171"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000172"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000173"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000174"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000175"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000176"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000177"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000178"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000179"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000180"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000181"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000182"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000183"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000184"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000185"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000186"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000187"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000188"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000189"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000190"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000191"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000192"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000193"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000194"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000195"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000196"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000197"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000198"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000199"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000200"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000201"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000202"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000203"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000204"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000205"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000206"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000207"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000208"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000209"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000210"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000211"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000212"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000213"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000214"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000215"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
